fra,sexe,jour,n_dose1,n_cum_dose1
FR,1,2020-12-27,7,7
FR,1,2020-12-28,9,16
FR,1,2020-12-29,31,47
FR,1,2020-12-30,37,84
FR,1,2020-12-31,18,102
FR,1,2021-01-01,12,114
FR,1,2021-01-02,28,142
FR,1,2021-01-03,43,185
FR,1,2021-01-04,596,781
FR,1,2021-01-05,2120,2901
FR,1,2021-01-06,4408,7309
FR,1,2021-01-07,10336,17645
FR,1,2021-01-08,12934,30579
FR,1,2021-01-09,4896,35475
FR,1,2021-01-10,2466,37941
FR,1,2021-01-11,12942,50883
FR,1,2021-01-12,19379,70262
FR,1,2021-01-13,20403,90665
FR,1,2021-01-14,24742,115407
FR,1,2021-01-15,21075,136482
FR,1,2021-01-16,7565,144047
FR,1,2021-01-17,3425,147472
FR,1,2021-01-18,31299,178771
FR,1,2021-01-19,45569,224340
FR,1,2021-01-20,48217,272557
FR,1,2021-01-21,53674,326231
FR,1,2021-01-22,44892,371123
FR,1,2021-01-23,15731,386854
FR,1,2021-01-24,3528,390382
FR,1,2021-01-25,31188,421570
FR,1,2021-01-26,38001,459571
FR,1,2021-01-27,39203,498774
FR,1,2021-01-28,42597,541371
FR,1,2021-01-29,34070,575441
FR,1,2021-01-30,12028,587469
FR,1,2021-01-31,1863,589332
FR,1,2021-02-01,20520,609852
FR,1,2021-02-02,26398,636250
FR,0,2020-12-27,13,13
FR,0,2020-12-28,39,52
FR,0,2020-12-29,95,147
FR,0,2020-12-30,103,250
FR,0,2020-12-31,79,329
FR,0,2021-01-01,27,356
FR,0,2021-01-02,54,410
FR,0,2021-01-03,75,485
FR,0,2021-01-04,1369,1854
FR,0,2021-01-05,5009,6863
FR,0,2021-01-06,10428,17291
FR,0,2021-01-07,26448,43739
FR,0,2021-01-08,33256,76995
FR,0,2021-01-09,10498,87493
FR,0,2021-01-10,5321,92814
FR,0,2021-01-11,34721,127535
FR,0,2021-01-12,54824,182359
FR,0,2021-01-13,57311,239670
FR,0,2021-01-14,71233,310903
FR,0,2021-01-15,59528,370431
FR,0,2021-01-16,17630,388061
FR,0,2021-01-17,9675,397736
FR,0,2021-01-18,76946,474682
FR,0,2021-01-19,118906,593588
FR,0,2021-01-20,124585,718173
FR,0,2021-01-21,143302,861475
FR,0,2021-01-22,110166,971641
FR,0,2021-01-23,35464,1007105
FR,0,2021-01-24,8842,1015947
FR,0,2021-01-25,71723,1087670
FR,0,2021-01-26,91963,1179633
FR,0,2021-01-27,98623,1278256
FR,0,2021-01-28,112689,1390945
FR,0,2021-01-29,83500,1474445
FR,0,2021-01-30,27106,1501551
FR,0,2021-01-31,4669,1506220
FR,0,2021-02-01,46637,1552857
FR,0,2021-02-02,62231,1615088
FR,2,2020-12-27,6,6
FR,2,2020-12-28,30,36
FR,2,2020-12-29,64,100
FR,2,2020-12-30,66,166
FR,2,2020-12-31,61,227
FR,2,2021-01-01,15,242
FR,2,2021-01-02,26,268
FR,2,2021-01-03,32,300
FR,2,2021-01-04,772,1072
FR,2,2021-01-05,2888,3960
FR,2,2021-01-06,6014,9974
FR,2,2021-01-07,16109,26083
FR,2,2021-01-08,20313,46396
FR,2,2021-01-09,5598,51994
FR,2,2021-01-10,2852,54846
FR,2,2021-01-11,21771,76617
FR,2,2021-01-12,35424,112041
FR,2,2021-01-13,36885,148926
FR,2,2021-01-14,46464,195390
FR,2,2021-01-15,38429,233819
FR,2,2021-01-16,10059,243878
FR,2,2021-01-17,6247,250125
FR,2,2021-01-18,45626,295751
FR,2,2021-01-19,73290,369041
FR,2,2021-01-20,76328,445369
FR,2,2021-01-21,89568,534937
FR,2,2021-01-22,65241,600178
FR,2,2021-01-23,19722,619900
FR,2,2021-01-24,5313,625213
FR,2,2021-01-25,40510,665723
FR,2,2021-01-26,53919,719642
FR,2,2021-01-27,59365,779007
FR,2,2021-01-28,70047,849054
FR,2,2021-01-29,49392,898446
FR,2,2021-01-30,15063,913509
FR,2,2021-01-31,2804,916313
FR,2,2021-02-01,26098,942411
FR,2,2021-02-02,35810,978221
